# t, x, y, z, qx, qy, qz
2.92, 0.0, 0.0, 0., 0., 0., 0.03458756323683637
2.93, 0.0, 0.0, 0., 0., 0., 0.038105381662636516
2.94, 0.0, 0.0, 0., 0., 0., 0.041471153845424026
2.95, 0.0, 0.0, 0., 0., 0., 0.04467123102093498
2.96, 0.0, 0.0, 0., 0., 0., 0.04769269159777798
2.97, 0.0, 0.0, 0., 0., 0., 0.05052340269347851
2.98, 0.0, 0.0, 0., 0., 0., 0.053152075428120255
2.99, 0.0, 0.0, 0., 0., 0., 0.05556831349311965
3.0, 0.0, 0.0, 0., 0., 0., 0.05776265467593774
3.0100000000000002, 0.0, 0.0, 0., 0., 0., 0.05972660518893893
3.02, 0.0, 0.0, 0., 0., 0., 0.061452666815017785
3.0300000000000002, 0.0, 0.0, 0., 0., 0., 0.06293435703741511
3.04, 0.0, 0.0, 0., 0., 0., 0.06416622246055077
3.0500000000000003, 0.0, 0.0, 0., 0., 0., 0.06514384594808384
3.06, 0.0, 0.0, 0., 0., 0., 0.06586384800035697
3.0700000000000003, 0.0, 0.0, 0., 0., 0., 0.06632388296388643
3.08, 0.0, 0.0, 0., 0., 0., 0.06652263070983261
3.09, 0.0, 0.0, 0., 0., 0., 0.06645978443687935
3.1, 0.0, 0.0, 0., 0., 0., 0.06613603524807062
3.11, 0.0, 0.0, 0., 0., 0., 0.0655530541231239
3.12, 0.0, 0.0, 0., 0., 0., 0.0647134718603442
3.13, 0.0, 0.0, 0., 0., 0., 0.06362085749865164
3.14, 0.0, 0.0, 0., 0., 0., 0.06227969565372817
3.15, 0.0, 0.0, 0., 0., 0., 0.06069536311622616
3.16, 0.0, 0.0, 0., 0., 0., 0.05887410496760577
3.17, 0.0, 0.0, 0., 0., 0., 0.05682301037356072
3.18, 0.0, 0.0, 0., 0., 0., 0.05454998811899707
3.19, 0.0, 0.0, 0., 0., 0., 0.05206374185481834
3.2, 0.0, 0.0, 0., 0., 0., 0.049373744937748966
3.21, 0.0, 0.0, 0., 0., 0., 0.0464902146623783
