"Time","max height (stats)","max volume (stats)"
2.69247,0.115395,78.561783
2.69506,0.112502,78.670753
2.69759,0.109658,78.762779
2.70008,0.106833,78.840416
2.7026,0.103992,78.907135
2.70511,0.101194,78.957413
2.70764,0.09866,78.990387
2.71035,0.097756997,79.006615
2.71303,0.096818998,79.00351
2.71572,0.095811002,78.995094
2.71836,0.094760001,78.970779
2.72089,0.093694001,78.934364
2.72366,0.092473999,78.881866
2.72636,0.091220997,78.809456
2.7291,0.089896001,78.721436
2.73195,0.088720001,78.616798
2.73495,0.087641999,78.490601
2.73814,0.086448997,78.340111
2.7411,0.085308,78.183098
2.74377,0.084252,78.029587
2.74659,0.083099,77.852356
2.74932,0.081951,77.672081
2.75185,0.080861002,77.492462
2.75426,0.079805002,77.308037
2.7566,0.078763001,77.115578
2.75888,0.077734999,76.91452
2.76114,0.076706998,76.703064
2.76347,0.075636998,76.472839
2.76594,0.074504003,76.219215
2.76818,0.073559001,75.979599
2.77023,0.073556997,75.758347
2.77216,0.073429003,75.544388
2.77402,0.073342003,75.335159
2.77587,0.073275998,75.108253
2.7778,0.073214002,74.863808
2.77985,0.073146001,74.602425
2.78185,0.073071003,74.340881
2.78384,0.072981998,74.070107
2.7859,0.072871,73.789436
2.7881,0.072729997,73.499184
2.7907,0.072531,73.110313
2.79316,0.072309002,72.788704
2.79529,0.072086997,72.511925
2.79709,0.071970999,72.279686
2.7986,0.072209001,72.086334
2.79942,0.072323002,71.980942
2.80002,0.072401002,71.904404
2.80068,0.072483003,71.823898
2.80145,0.072577,71.766594
2.80244,0.072691999,71.651619
2.80383,0.072838001,71.484283
2.80557,0.072995,71.274704
2.80778,0.073149003,71.017509
2.81015,0.073255002,70.752777
2.81258,0.073302999,70.492958
2.81522,0.073284,70.16069
2.81715,0.073220998,70.009583
2.81858,0.073146001,69.954681
2.81985,0.073060997,69.87944
2.82171,0.072907999,69.712799
2.82554,0.072471,69.380043
2.82964,0.073163003,69.005333
2.83231,0.073849998,68.831573
2.83452,0.074386999,68.726196
2.83664,0.074876003,68.618614
2.83908,0.075410001,68.497246
2.84232,0.076077998,68.341911
2.847,0.076944001,68.091965
2.85615,0.078231998,67.693344
2.86993,0.078890003,67.509941
2.87489,0.078726001,67.585136
2.87853,0.078469001,67.641914
2.88182,0.078135997,67.712311
2.88668,0.077471003,67.835548
2.89094,0.076722004,67.99321
2.89494,0.075888,68.100624
2.89721,0.075367004,68.241837
2.89891,0.074963003,68.347824
2.90179,0.074651003,68.476967
2.90416,0.075372003,68.624222
2.90643,0.076053001,68.771469
2.90882,0.076745003,68.931458
2.91146,0.077473998,69.115395
2.91417,0.078185,69.313553
2.91685,0.078850999,69.518265
2.91951,0.079475999,69.728249
2.92217,0.080062002,69.954018
2.92481,0.080605,70.183311
2.92745,0.081109002,70.41906
2.93015,0.081579,70.665878
2.93296,0.082019001,70.929291
2.93592,0.082425997,71.184669
2.9391,0.082794003,71.500206
2.94141,0.083052002,71.739868
2.94393,0.083263002,72.006607
2.94613,0.083417997,72.252602
2.94793,0.083529003,72.460175
2.94917,0.083612002,72.612343
2.94988,0.083681002,72.707047
2.95021,0.083743997,72.759789
2.95034,0.083802,72.78875
2.95039,0.083856001,72.80619
2.9504,0.083903998,72.818146
2.9504,0.083949,72.827202
2.95041,0.083989002,72.759056
2.95048,0.084023997,72.770447
2.95104,0.084100001,72.830986
2.95371,0.084931001,73.112358
2.95648,0.085789002,73.416702
2.95924,0.086638004,73.731201
2.96201,0.087484002,74.052361
2.96484,0.088335998,74.380013
2.96777,0.089202002,74.715942
2.96958,0.089753002,74.946098
2.97189,0.090531997,75.19075
2.97461,0.091444001,75.459412
2.97722,0.092311002,75.707344
2.97975,0.093134999,75.926918
2.98222,0.093921997,76.091316
2.98466,0.094678998,76.218163
2.9871,0.095417,76.324936
2.98949,0.09612,76.41571
2.99182,0.096793003,76.494804
2.99414,0.097452,76.561325
2.99615,0.098288998,76.595291
2.99793,0.099468999,76.628326
3.00058,0.101193,76.657562
3.00308,0.102777,76.6717
3.00567,0.104376,76.675308
3.0086,0.106118,76.672249
3.01158,0.107832,76.665718
3.01454,0.109459,76.655464
3.01746,0.110995,76.645424
3.02034,0.112444,76.620537
3.02177,0.113109,76.603165
3.02219,0.113244,76.603493
3.02248,0.113307,76.60569
3.02289,0.11359,76.603523
3.02385,0.114294,76.589699
3.02625,0.116013,76.536774
3.02882,0.117823,76.47052
3.03124,0.119496,76.396004
3.0335,0.121046,76.312538
3.0345,0.121732,76.284828
3.03567,0.122531,76.247696
3.03766,0.123869,76.170738
3.03952,0.125563,76.101677
3.04139,0.127508,76.031708
3.0436,0.12973,75.936707
3.04586,0.131909,75.827812
3.04818,0.134066,75.695877
3.05055,0.136177,75.54512
3.05256,0.137905,75.406418
3.05438,0.139429,75.275681
3.05619,0.140909,75.136887
3.05813,0.14246599,74.953796
3.06037,0.144208,74.767021
3.06301,0.146212,74.534988
3.06574,0.148224,74.286781
3.06827,0.15003601,74.046707
3.07032,0.15147801,73.838341
3.07231,0.152803,73.617783
3.07429,0.154066,73.406281
3.07628,0.155295,73.191628
3.07837,0.156541,72.966324
3.08069,0.157857,72.720917
3.08333,0.15928601,72.444595
3.08612,0.160713,72.157906
3.08878,0.16199499,71.887695
3.09108,0.16305301,71.650444
3.09322,0.163995,71.42807
3.09518,0.16507301,71.1642
3.09732,0.16615701,70.964584
3.09947,0.16718499,70.764297
3.10165,0.16817001,70.549332
3.10359,0.169011,70.346962
3.10486,0.169558,70.186516
3.10628,0.170139,70.021347
3.10895,0.17141899,69.728806
3.1116,0.173052,69.438248
3.11317,0.174006,69.266106
3.11401,0.17452,69.158455
3.11438,0.17475501,69.101143
3.11574,0.175569,68.876839
3.11853,0.177178,68.595039
3.12165,0.17889,68.290543
3.12367,0.17995501,68.09613
3.12514,0.18066899,67.936996
3.1263,0.18122301,67.81575
3.1281,0.182059,67.686935
3.13009,0.182956,67.519173
3.13186,0.183731,67.368912
